,energy,dance,liveness,acoustic,sentiments
Old Town Road Lil Nas X Billy Ray Cyrus,0.619,0.878,0.113,0.0533,0.431344027
Sunflower Post Malone and Swae Lee,0.479,0.76,0.0703,0.556,0.325719873
Without Me Halsey,0.488,0.752,0.0936,0.297,0.392287515
Bad Guy Billie Eilish,0.425,0.701,0.1,0.328,0
Wow Post Malone,0.539,0.829,0.103,0.136,0.779043929
Happier Marshmello and Bastille,0.792,0.687,0.167,0.191,0.662267998
7 Rings Ariana Grande,0.317,0.778,0.0881,0.592,0.659706458
Talk Khalid,0.4,0.9,0.0599,0.0516,0.33446027
Sicko Mode Travis Scott,0.73,0.834,0.124,0.00513,0.50622805
Sucker Jonas Brothers,0.734,0.842,0.106,0.0427,0.313236484
Blinding Lights The Weeknd,0.73,0.514,0.0897,0.00146,0.077770741
Circles Post Malone,0.762,0.695,0.0863,0.192,0.47723169
The Box Roddy Ricch,0.586,0.896,0.79,0.104,0.041028632
Don't Start Now Dua Lipa,0.793,0.793,0.0951,0.0123,0.557678844
Rockstar DaBaby Roddy Ricch,0.69,0.746,0.101,0.247,0.428922891
Adore You Harry Styles,0.771,0.676,0.102,0.0237,0.635480519
Life Is Good Future Drake,0.609,0.676,0.152,0.0706,0.584807698
Memories Maroon 5,0.327,0.775,0.0821,0.841,0.789623324
The Bones Maren Morris,0.57,0.612,0.0963,0.278,0.628695702
Someone You Loved Lewis Capaldi,0.405,0.501,0.105,0.751,0.458775844
Levitating Dua Lipa,0.825,0.702,0.0674,0.00883,1
Save Your Tears The Weeknd and Ariana Grande,0.676,0.631,0.278,0.0176,0.44569496
Mood 24kGoldn Iann Dior,0.716,0.701,0.324,0.174,0.82763772
Good 4 U Olivia Rodrigo,0.664,0.563,0.0849,0.335,0.884746919
Kiss Me More Doja Cat SZA,0.705,0.764,0.12,0.259,0.513742515
Leave the Door Open Silk Sonic (Bruno Mars and Anderson .Paak),0.616,0.586,0.0927,0.182,0.820372233
Drivers License Olivia Rodrigo,0.431,0.561,0.106,0.768,0.544224018
Montero (Call Me by Your Name) Lil Nas X,0.503,0.593,0.405,0.293,0.722355367
Peaches Justin Bieber Daniel Caesar and Giveon,0.696,0.677,0.42,0.321,0.402311946
